UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,VEHICLE_ID,STATE_REGISTRATION,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_YEAR,TRAVEL_DIRECTION,VEHICLE_OCCUPANTS,DRIVER_SEX,DRIVER_LICENSE_STATUS,DRIVER_LICENSE_JURISDICTION,PRE_CRASH,POINT_OF_IMPACT,VEHICLE_DAMAGE,VEHICLE_DAMAGE_1,VEHICLE_DAMAGE_2,VEHICLE_DAMAGE_3,PUBLIC_PROPERTY_DAMAGE,PUBLIC_PROPERTY_DAMAGE_TYPE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,Year
9125329,42767,2013-09-17,15:28,1,NJ,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Driver Inattention/Distraction,,2013
10667404,114577,2013-02-23,22:45,1,UK,UNKNOWN,,,,,,,,,,,,,,,,,Unspecified,,2013
12003729,183672,2013-06-20,5:44,3,MD,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2013
11748547,168219,2013-08-09,19:30,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2013
12185508,193062,2013-08-02,17:30,1,NY,AMBULANCE,,,,,,,,,,,,,,,,,Unspecified,,2013
12052658,186115,2013-05-26,17:30,1,PA,OTHER,,,,,,,,,,,,,,,,,Backing Unsafely,,2013
9353646,54717,2013-10-28,8:30,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Glare,,2013
10528165,2934508,2013-10-08,6:40,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2013
13090251,237129,2013-10-15,16:50,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2013
11622286,161081,2013-01-01,1:35,1,PA,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2013
9797036,74404,2013-05-14,14:20,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2013
13988180,277790,2013-10-21,1:49,2,NY,UNKNOWN,,,,,,,,,,,,,,,,,Unspecified,,2013
11053565,132251,2013-04-19,14:26,1,NY,PICK-UP TRUCK,,,,,,,,,,,,,,,,,Unspecified,,2013
12665223,217836,2013-10-09,13:20,1,NY,SPORT UTILITY / STATION WAGON,,,,,,,,,,,,,,,,,Unspecified,,2013
9540045,63405,2013-12-15,23:14,1,NJ,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2013
12315609,200581,2013-11-30,18:45,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2013
14400062,3122416,2013-04-21,16:45,1,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2013
9843062,77181,2013-03-14,7:13,2,NY,PASSENGER VEHICLE,,,,,,,,,,,,,,,,,Unspecified,,2013
