person_id,person_age,person_sex,vehicle_make,vehicle_year,overall_rating
6465de8a-bdb5-40dc-bf18-dd00535eca9c,53,F,honda,2003.0,4.166666666666667
6465de8a-bdb5-40dc-bf18-dd00535eca9c,53,F,honda,2003.0,4.0
7dd41360-6fef-4563-9292-d19ac7cf70b7,24,M,honda,2003.0,4.333333333333333
7dd41360-6fef-4563-9292-d19ac7cf70b7,24,M,honda,2003.0,4.2
f8abf7e4-4724-424b-afc3-49a50dd42390,24,M,honda,2003.0,4.166666666666667
f8abf7e4-4724-424b-afc3-49a50dd42390,24,M,honda,2003.0,4.0
132a3f91-0350-4638-88ca-4fc529bd80d3,33,M,honda,2003.0,4.5
8859556c-97e5-44d6-a8d8-05760d14dfee,26,F,honda,2003.0,4.4
5a641b7d-edb3-4ec6-9065-e35f21a42705,28,M,honda,2003.0,4.6
ee533c11-3dcd-473f-a3fe-6f7dfd9ccdeb,24,M,honda,2003.0,4.6
52c6ae02-04d7-41f0-9c8e-d20b4e65f643,66,M,honda,2003.0,4.6
9671331c-240a-4882-889e-89e05d6abee2,66,M,honda,2003.0,4.8
9671331c-240a-4882-889e-89e05d6abee2,66,M,honda,2003.0,4.666666666666667
7c6806d7-b93b-4b72-aded-3baf220a581d,39,U,honda,2003.0,4.166666666666667
7c6806d7-b93b-4b72-aded-3baf220a581d,39,U,honda,2003.0,4.0
ebf8e6c3-d1fe-4db1-9840-45b4bdd42cb8,39,U,honda,2003.0,4.5
5e7d73ec-e3de-448a-8d3f-fd892515425a,39,U,honda,2003.0,4.166666666666667
5e7d73ec-e3de-448a-8d3f-fd892515425a,39,U,honda,2003.0,4.0
0971e8a7-d00f-43ea-8bfa-0774a5323388,24,M,honda,2003.0,4.5
3a13c83d-921f-4887-b5fb-7a0c9217a53e,17,F,honda,2021.0,4.646291448516578
ae80bcd1-60b7-445d-a2dd-22d1155a8379,39,U,honda,2021.0,5.0
c1e3114a-ab51-43c4-91be-11e4235fe200,22,M,honda,2021.0,4.646291448516578
4b0658d5-9677-43fe-8dbc-1bbb56726173,68,M,ford,2008.0,4.246415849165484
7bc288c6-f12a-4e81-9490-2e937544960a,38,M,ford,2008.0,4.333333333333333
7bc288c6-f12a-4e81-9490-2e937544960a,38,M,ford,2008.0,5.0
7bc288c6-f12a-4e81-9490-2e937544960a,38,M,ford,2008.0,4.2
cc620379-f2bb-4b75-b9bb-22ab6bd298f3,45,,ford,2008.0,3.0
cc620379-f2bb-4b75-b9bb-22ab6bd298f3,45,,ford,2008.0,2.0
08adf1da-bd65-4250-af20-b5319cc1c21f,36,F,ford,2008.0,4.246415849165484
867b8a54-7b07-4ed3-b610-cad18d63838b,39,M,ford,2008.0,4.333333333333333
867b8a54-7b07-4ed3-b610-cad18d63838b,39,M,ford,2008.0,5.0
867b8a54-7b07-4ed3-b610-cad18d63838b,39,M,ford,2008.0,4.2
df7a0187-997b-41a0-83ae-6a66031fa3bd,36,F,ford,2008.0,4.5
df7a0187-997b-41a0-83ae-6a66031fa3bd,36,F,ford,2008.0,3.8
47ccaf3b-d93d-4df0-aaa8-f30ee3c3124c,45,,ford,2008.0,4.246415849165484
b9f273f4-d1af-4131-822b-6d781d5634cd,32,M,ford,2008.0,4.5
b9f273f4-d1af-4131-822b-6d781d5634cd,32,M,ford,2008.0,3.8
e0f2cca3-6f36-4daf-a889-6d0052a59bab,68,F,ford,2008.0,4.333333333333333
e0f2cca3-6f36-4daf-a889-6d0052a59bab,68,F,ford,2008.0,5.0
