UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,PED_LOCATION,PED_ACTION,COMPLAINT,PED_ROLE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,PERSON_SEX,Year
1336001,37958,2012-07-27,13:35,1,Occupant,Injured,9115950.0,69.0,,,,,,,,,,,,,2012
2154953,272777,2012-07-20,15:15,1,Occupant,Injured,13977350.0,47.0,,,,,,,,,,,,,2012
1301702,22696,2012-11-25,14:40,1,Occupant,Injured,8784178.0,44.0,,,,,,,,,,,,,2012
1681363,135270,2012-07-24,14:58,3,Occupant,Injured,11156291.0,4.0,,,,,,,,,,,,,2012
1796319,164711,2012-10-17,22:42,1,Bicyclist,Injured,11741149.0,28.0,,,,,,,,,,,,,2012
1624777,2946438,2012-09-13,5:55,2,Occupant,Injured,10869203.0,72.0,,,,,,,,,,,,,2012
1935641,209238,2012-09-17,13:00,1,Occupant,Injured,12541050.0,67.0,,,,,,,,,,,,,2012
1986852,3016864,2012-08-25,20:00,1,Occupant,Injured,12834010.0,24.0,,,,,,,,,,,,,2012
1257623,1437,2012-12-12,19:16,1,Bicyclist,Injured,8393997.0,34.0,,,,,,,,,,,,,2012
1918633,203950,2012-07-31,19:50,1,Pedestrian,Injured,,12.0,,,,,,,,,,,,,2012
2028404,233551,2012-08-27,13:00,1,Occupant,Injured,13080916.0,63.0,,,,,,,,,,,,,2012
1557813,103605,2012-11-06,20:30,1,Bicyclist,Injured,10464366.0,28.0,,,,,,,,,,,,,2012
1283474,13889,2012-07-04,13:00,1,Pedestrian,Injured,,21.0,,,,,,,,,,,,,2012
1499681,88625,2012-07-12,19:00,1,Occupant,Injured,10155689.0,23.0,,,,,,,,,,,,,2012
2136662,268966,2012-11-09,15:30,1,Pedestrian,Injured,,11.0,,,,,,,,,,,,,2012
1567158,2934083,2012-09-28,11:15,1,Occupant,Injured,10524205.0,37.0,,,,,,,,,,,,,2012
1609286,117234,2012-10-27,21:20,2,Pedestrian,Injured,,53.0,,,,,,,,,,,,,2012
1432606,73563,2012-12-17,16:50,1,Occupant,Injured,9795006.0,30.0,,,,,,,,,,,,,2012
1796061,164140,2012-08-31,18:20,1,Occupant,Injured,11739919.0,55.0,,,,,,,,,,,,,2012
1681557,135671,2012-09-03,20:20,3,Occupant,Injured,11157111.0,11.0,,,,,,,,,,,,,2012
2154980,272893,2012-07-31,18:22,1,Pedestrian,Injured,,13.0,,,,,,,,,,,,,2012
1301626,22393,2012-10-10,6:28,1,Pedestrian,Injured,,31.0,,,,,,,,,,,,,2012
1655167,130714,2012-10-16,15:25,1,Pedestrian,Injured,,11.0,,,,,,,,,,,,,2012
1582005,2937748,2012-12-07,13:30,1,Occupant,Injured,10604459.0,48.0,,,,,,,,,,,,,2012
1865305,188648,2012-11-27,16:20,1,Occupant,Injured,12130217.0,65.0,,,,,,,,,,,,,2012
1581946,110233,2012-10-26,16:11,6,Occupant,Injured,10603985.0,22.0,,,,,,,,,,,,,2012
1986482,219421,2012-07-02,16:54,3,Occupant,Injured,12832263.0,0.0,,,,,,,,,,,,,2012
1738849,152678,2012-08-27,12:20,1,Occupant,Injured,11465291.0,0.0,,,,,,,,,,,,,2012
1935502,208863,2012-07-22,3:20,4,Occupant,Injured,12540258.0,7.0,,,,,,,,,,,,,2012
2071973,245566,2012-07-01,16:10,3,Occupant,Injured,13407114.0,6.0,,,,,,,,,,,,,2012
1592167,113969,2012-09-27,22:10,1,Occupant,Injured,10666086.0,52.0,,,,,,,,,,,,,2012
1402684,66661,2012-10-11,23:00,3,Occupant,Injured,9620918.0,36.0,,,,,,,,,,,,,2012
2136421,268475,2012-08-31,5:45,1,Occupant,Injured,13843472.0,26.0,,,,,,,,,,,,,2012
2028371,233520,2012-08-22,14:00,4,Occupant,Injured,13080828.0,40.0,,,,,,,,,,,,,2012
1312067,26760,2012-09-11,6:45,1,Pedestrian,Injured,,46.0,,,,,,,,,,,,,2012
1499992,89212,2012-10-25,23:00,1,Occupant,Injured,10157657.0,0.0,,,,,,,,,,,,,2012
1825266,175820,2012-07-03,10:10,1,Pedestrian,Injured,,25.0,,,,,,,,,,,,,2012
2136573,268775,2012-10-14,12:40,1,Occupant,Injured,13844167.0,39.0,,,,,,,,,,,,,2012
2089057,255903,2012-11-07,12:07,1,Occupant,Injured,13526518.0,84.0,,,,,,,,,,,,,2012
1371320,2855058,2012-07-06,1:05,1,Pedestrian,Injured,,55.0,,,,,,,,,,,,,2012
1697448,2957393,2012-12-26,16:40,3,Occupant,Injured,11255072.0,18.0,,,,,,,,,,,,,2012
1709001,145402,2012-12-11,17:05,2,Occupant,Injured,11314252.0,19.0,,,,,,,,,,,,,2012
1277477,12687,2012-12-20,23:40,1,Pedestrian,Injured,,51.0,,,,,,,,,,,,,2012
2117608,264628,2012-09-22,4:32,2,Occupant,Injured,13746675.0,26.0,,,,,,,,,,,,,2012
1697433,141906,2012-12-23,16:45,1,Occupant,Injured,11255012.0,25.0,,,,,,,,,,,,,2012
1724744,147451,2012-07-02,11:25,1,Pedestrian,Injured,,23.0,,,,,,,,,,,,,2012
1738742,152387,2012-07-04,18:07,1,Occupant,Injured,11464715.0,52.0,,,,,,,,,,,,,2012
2008960,227949,2012-07-01,18:36,1,Occupant,Injured,12953346.0,47.0,,,,,,,,,,,,,2012
1323729,2840769,2012-10-25,9:45,1,Occupant,Injured,8993812.0,49.0,,,,,,,,,,,,,2012
1272300,9889,2012-10-13,22:45,1,Occupant,Injured,8531242.0,28.0,,,,,,,,,,,,,2012
2136682,269028,2012-11-19,9:24,1,Pedestrian,Injured,,0.0,,,,,,,,,,,,,2012
2136293,268225,2012-07-19,19:35,1,Occupant,Injured,13842829.0,52.0,,,,,,,,,,,,,2012
1283563,14323,2012-09-26,20:15,1,Pedestrian,Injured,,26.0,,,,,,,,,,,,,2012
1817606,172562,2012-07-02,23:10,3,Occupant,Injured,11861544.0,26.0,,,,,,,,,,,,,2012
1380988,59923,2012-09-08,4:30,1,Occupant,Injured,9500868.0,42.0,,,,,,,,,,,,,2012
1935773,209615,2012-11-18,6:30,1,Occupant,Injured,12541831.0,25.0,,,,,,,,,,,,,2012
2009489,229401,2012-12-21,7:40,1,Occupant,Injured,12956706.0,42.0,,,,,,,,,,,,,2012
2155136,273394,2012-09-16,10:15,1,Occupant,Injured,13978689.0,39.0,,,,,,,,,,,,,2012
2216924,294064,2012-09-06,15:05,1,Occupant,Injured,14391456.0,51.0,,,,,,,,,,,,,2012
2103758,3078832,2012-08-04,15:55,1,Occupant,Injured,13644733.0,34.0,,,,,,,,,,,,,2012
1725190,148773,2012-12-18,9:40,1,Bicyclist,Injured,11400632.0,30.0,,,,,,,,,,,,,2012
1739063,153354,2012-12-26,20:27,1,Pedestrian,Injured,,40.0,,,,,,,,,,,,,2012
1697416,2957374,2012-12-15,19:00,3,Occupant,Injured,11254831.0,40.0,,,,,,,,,,,,,2012
1834894,180033,2012-10-26,12:55,1,Bicyclist,Injured,11968542.0,46.0,,,,,,,,,,,,,2012
1708766,144787,2012-07-10,7:45,1,Occupant,Injured,11312835.0,38.0,,,,,,,,,,,,,2012
2089171,256200,2012-12-13,14:20,1,Bicyclist,Injured,13527329.0,53.0,,,,,,,,,,,,,2012
1885974,194181,2012-08-20,16:20,1,Bicyclist,Injured,12249496.0,24.0,,,,,,,,,,,,,2012
1708944,145237,2012-11-07,7:44,6,Occupant,Injured,11313868.0,0.0,,,,,,,,,,,,,2012
1767373,160628,2012-10-08,13:24,1,Pedestrian,Injured,,91.0,,,,,,,,,,,,,2012
2103712,259470,2012-07-13,22:21,2,Occupant,Injured,13644213.0,23.0,,,,,,,,,,,,,2012
1624683,121548,2012-07-18,18:10,2,Occupant,Injured,10868361.0,27.0,,,,,,,,,,,,,2012
1817791,173048,2012-10-03,9:28,2,Occupant,Injured,11862491.0,58.0,,,,,,,,,,,,,2012
2049106,240330,2012-11-28,15:40,1,Occupant,Injured,13230236.0,46.0,,,,,,,,,,,,,2012
1681940,136536,2012-12-09,18:15,1,Pedestrian,Injured,,52.0,,,,,,,,,,,,,2012
1529215,95610,2012-09-27,20:00,1,Occupant,Injured,10316189.0,36.0,,,,,,,,,,,,,2012
2136783,269317,2012-12-31,13:45,1,Occupant,Injured,13845442.0,35.0,,,,,,,,,,,,,2012
2172314,3106851,2012-07-20,18:00,3,Occupant,Injured,14084218.0,74.0,,,,,,,,,,,,,2012
1609425,117720,2012-12-19,13:04,1,Pedestrian,Injured,,48.0,,,,,,,,,,,,,2012
2088863,255404,2012-08-30,20:00,1,Bicyclist,Injured,13525323.0,33.0,,,,,,,,,,,,,2012
1903050,202557,2012-11-30,10:56,1,Occupant,Injured,12360314.0,23.0,,,,,,,,,,,,,2012
1418658,70415,2012-09-17,12:30,1,Occupant,Injured,9717571.0,20.0,,,,,,,,,,,,,2012
1265937,5613,2012-08-09,20:07,1,Bicyclist,Injured,8475559.0,45.0,,,,,,,,,,,,,2012
1432449,73175,2012-10-07,20:21,1,Occupant,Injured,9794118.0,28.0,,,,,,,,,,,,,2012
2172765,281022,2012-12-30,10:52,1,Occupant,Injured,14086943.0,49.0,,,,,,,,,,,,,2012
2072497,247704,2012-11-17,1:35,1,Occupant,Injured,13412023.0,57.0,,,,,,,,,,,,,2012
1903044,202525,2012-11-21,11:57,1,Occupant,Injured,12360255.0,74.0,,,,,,,,,,,,,2012
1581981,2937731,2012-11-24,16:00,1,Occupant,Injured,10604339.0,25.0,,,,,,,,,,,,,2012
1624868,122226,2012-10-27,18:10,1,Pedestrian,Injured,,14.0,,,,,,,,,,,,,2012
1724981,148150,2012-10-01,8:00,1,Occupant,Injured,11399377.0,16.0,,,,,,,,,,,,,2012
1640663,125949,2012-08-13,12:50,1,Occupant,Injured,10957274.0,28.0,,,,,,,,,,,,,2012
1466961,81196,2012-08-26,16:15,1,Pedestrian,Injured,,49.0,,,,,,,,,,,,,2012
1987152,220771,2012-10-09,8:50,1,Occupant,Injured,12835526.0,0.0,,,,,,,,,,,,,2012
1467252,82033,2012-12-24,21:50,1,Pedestrian,Injured,,0.0,,,,,,,,,,,,,2012
1350097,44953,2012-07-04,14:00,1,Bicyclist,Injured,9272268.0,31.0,,,,,,,,,,,,,2012
1708913,145170,2012-10-14,22:45,1,Pedestrian,Injured,,22.0,,,,,,,,,,,,,2012
2009429,229277,2012-12-08,21:20,2,Occupant,Injured,12956417.0,0.0,,,,,,,,,,,,,2012
1986516,219472,2012-07-06,18:20,1,Occupant,Injured,12832381.0,32.0,,,,,,,,,,,,,2012
1624806,122043,2012-10-03,14:15,1,Bicyclist,Injured,10869425.0,22.0,,,,,,,,,,,,,2012
1364964,55548,2012-07-01,12:34,1,Pedestrian,Injured,,78.0,,,,,,,,,,,,,2012
1312224,27717,2012-12-20,1:34,1,Occupant,Injured,8882486.0,0.0,,,,,,,,,,,,,2012
