UNIQUE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,PED_LOCATION,PED_ACTION,COMPLAINT,PED_ROLE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,PERSON_SEX,Year
12860349,4694562,2024-01-03,7:50,c52c37b1-bf63-4fdf-8d9a-576350bab1ae,Occupant,Unspecified,20583746.0,,,,,,,,,,Registrant,,,,2024
12853227,4692482,2024-01-03,19:50,66774297-003a-4502-8c05-405b89a48f19,Occupant,Unspecified,20579788.0,,,,,,,,,,Registrant,,,U,2024
12851693,4692394,2024-01-03,8:50,78c14bbd-19c5-4783-9101-e66e34a59206,Occupant,Unspecified,20578913.0,51.0,,,,,,,,,Registrant,,,M,2024
12855095,4693101,2024-01-03,11:45,081178a7-4a72-4065-a206-c2561c946c96,Occupant,Unspecified,20580877.0,72.0,,,,,,,,,Registrant,,,F,2024
12855614,4693115,2024-01-03,14:00,d26d034b-8fac-47b2-b3aa-ca51687b2809,Occupant,Unspecified,20581172.0,,,,,,,,,,Registrant,,,M,2024
12852012,4692462,2024-01-03,14:48,934a8b84-e9a2-416d-9d90-699358148a6f,Pedestrian,Injured,,67.0,,Conscious,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Complaint of Pain or Nausea,Pedestrian,Unspecified,Unspecified,F,2024
12852690,4692597,2024-01-03,11:15,a097ee8b-6777-4674-b49b-ead96483de9a,Occupant,Unspecified,,,,,,,,,,,Witness,,,,2024
12853024,4692488,2024-01-03,15:40,0f0439f4-1925-443b-a1ae-8220223bbd05,Other Motorized,Injured,20579683.0,18.0,Not Ejected,Conscious,Knee-Lower Leg Foot,Driver,Helmet (Motorcycle Only),,,Complaint of Pain or Nausea,Driver,,,M,2024
12851873,4692243,2024-01-03,8:21,d3722a83-40e3-4629-98c2-52e59a4ae559,Occupant,Unspecified,20579008.0,17.0,,,,,,,,,Registrant,,,M,2024
12852740,4692666,2024-01-03,12:08,f08e4b72-6e3b-4d36-8960-645d119dab47,Occupant,Unspecified,20579528.0,71.0,,,,,,,,,Registrant,,,M,2024
12853193,4692538,2024-01-03,7:15,58c31b23-250d-46e5-a436-956248596144,Bicyclist,Injured,20579773.0,42.0,Ejected,Conscious,Entire Body,Driver,Helmet Only (In-Line Skater/Bicyclist),,,Complaint of Pain or Nausea,Driver,,,M,2024
12851965,4692454,2024-01-03,0:00,33fb7be1-aaac-40ee-a159-8918f68c7b5a,Occupant,Unspecified,20579051.0,9.0,Not Ejected,Does Not Apply,Does Not Apply,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Does Not Apply,Passenger,,,M,2024
12852941,4692607,2024-01-03,1:43,a5919d6c-685d-41a9-b144-94dc11631bd6,Occupant,Unspecified,20579637.0,64.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M,2024
12851842,4692351,2024-01-03,7:51,b330d61d-15ed-4f2a-bfad-2ffeabb3e3be,Occupant,Injured,20578995.0,13.0,Not Ejected,Conscious,Back,"Front passenger, if two or more persons, including the driver, are in the front seat",Unknown,,,Complaint of Pain or Nausea,Passenger,,,F,2024
